Date/Time;Volume Temperature, °C;Volume Temperature Setpoint, °C;Temperature Control (P), %;Temperature Control (I), %;Temperature Control (D), %
15.01.26 12:36:59;59,99;60,00;0,10;5,21;0,02
15.01.26 12:37:01;59,99;60,00;0,10;5,21;0,02
15.01.26 12:37:03;59,99;60,00;0,10;5,21;0,02
15.01.26 12:37:05;60,04;60,00;-0,41;5,21;-0,13
15.01.26 12:37:07;59,99;60,00;0,10;5,21;0,02
15.01.26 12:37:09;59,99;60,00;0,10;5,21;0,02
15.01.26 12:37:11;59,99;60,00;0,10;5,21;0,02
15.01.26 12:37:13;59,99;60,00;0,10;5,21;0,02
15.01.26 12:37:15;59,99;60,00;0,10;5,21;0,01
15.01.26 12:37:17;60,04;60,00;-0,41;5,21;-0,13
15.01.26 12:37:19;60,04;60,00;-0,41;5,21;-0,12
15.01.26 12:37:21;60,04;60,00;-0,41;5,20;-0,10
15.01.26 12:37:23;59,99;60,00;0,10;5,20;0,04
15.01.26 12:37:25;59,99;60,00;0,10;5,20;0,04
15.01.26 12:37:28;59,99;60,00;0,10;5,20;0,04
15.01.26 12:37:30;59,99;60,00;0,10;5,20;0,03
15.01.26 12:37:32;59,99;60,00;0,10;5,20;0,03
15.01.26 12:37:34;59,99;60,00;0,10;5,20;0,03
15.01.26 12:37:36;60,04;60,00;-0,41;5,20;-0,12
15.01.26 12:37:38;59,99;60,00;0,10;5,20;0,03
15.01.26 12:37:40;59,99;60,00;0,10;5,20;0,04
15.01.26 12:37:42;59,99;60,00;0,10;5,20;0,03
15.01.26 12:37:44;59,99;60,00;0,10;5,20;0,03
15.01.26 12:37:46;59,99;60,00;0,10;5,20;0,03
15.01.26 12:37:48;59,99;60,00;0,10;5,20;0,02
15.01.26 12:37:50;59,99;60,00;0,10;5,20;0,02
15.01.26 12:37:52;60,04;60,00;-0,41;5,20;-0,12
15.01.26 12:37:54;60,04;60,00;0,10;5,20;0,03
15.01.26 12:37:56;59,99;60,00;0,10;5,20;0,03
15.01.26 12:37:58;59,99;60,00;-0,41;5,19;-0,12
15.01.26 12:38:01;59,99;60,00;0,10;5,19;0,04
15.01.26 12:38:03;59,99;60,00;0,10;5,19;0,03
15.01.26 12:38:05;59,99;60,00;0,10;5,19;0,03
15.01.26 12:38:07;59,99;60,00;0,10;5,19;0,03
15.01.26 12:38:09;59,99;60,00;0,10;5,19;0,02
15.01.26 12:38:11;59,99;60,00;0,10;5,20;0,02
15.01.26 12:38:13;59,99;60,00;0,10;5,20;0,02
