Date/Time;Temperature;Setpoint Temperature °C;Temperature Control (P) %;Temperature Control (I) %;Temperature Control (D) %
18.01.26 17:40:09;-5,72;0,00;38,10;2,59;0,41
18.01.26 17:40:11;-5,76;0,00;38,43;2,71;0,46
18.01.26 17:40:14;-5,76;0,00;38,43;2,78;0,42
18.01.26 17:40:16;-5,76;0,00;38,76;2,86;0,48
18.01.26 17:40:18;-5,81;0,00;38,76;2,94;0,43
18.01.26 17:40:20;-5,81;0,00;39,09;3,02;0,49
18.01.26 17:40:22;-5,86;0,00;39,09;3,10;0,44
18.01.26 17:40:24;-5,86;0,00;39,09;3,17;0,40
18.01.26 17:40:26;-5,86;0,00;39,09;3,25;0,36
18.01.26 17:40:28;-5,91;0,00;39,42;3,33;0,42
18.01.26 17:40:30;-5,91;0,00;39,42;3,41;0,38
18.01.26 17:40:32;-5,96;0,00;39,75;3,49;0,44
18.01.26 17:40:34;-5,96;0,00;39,75;3,57;0,37
18.01.26 17:40:36;-5,96;0,00;39,75;3,65;0,34
18.01.26 17:40:38;-5,96;0,00;39,75;3,73;0,40
18.01.26 17:40:40;-6,01;0,00;40,08;3,85;0,37
18.01.26 17:40:43;-6,01;0,00;40,08;3,93;0,33
18.01.26 17:40:45;-6,01;0,00;40,08;4,01;0,30
18.01.26 17:40:47;-6,06;0,00;40,42;4,09;0,36
18.01.26 17:40:49;-6,06;0,00;40,42;4,17;0,33
18.01.26 17:40:51;-6,06;0,00;40,75;4,25;0,39
18.01.26 17:40:53;-6,11;0,00;40,75;4,33;0,36
18.01.26 17:40:55;-6,11;0,00;40,75;4,41;0,32
18.01.26 17:40:57;-6,11;0,00;40,75;4,49;0,29
18.01.26 17:40:59;-6,11;0,00;40,75;4,58;0,26
18.01.26 17:41:01;-6,16;0,00;41,08;4,66;0,33
18.01.26 17:41:03;-6,16;0,00;41,08;4,74;0,29
18.01.26 17:41:05;-6,16;0,00;41,08;4,82;0,26
18.01.26 17:41:07;-6,16;0,00;41,08;4,90;0,24
18.01.26 17:41:09;-6,16;0,00;41,08;5,03;0,31
18.01.26 17:41:12;-6,21;0,00;41,41;5,11;0,28
18.01.26 17:41:14;-6,21;0,00;41,41;5,19;0,25
18.01.26 17:41:16;-6,21;0,00;41,41;5,28;0,23
18.01.26 17:41:18;-6,21;0,00;41,41;5,36;0,21
18.01.26 17:41:20;-6,21;0,00;41,41;5,44;0,19
18.01.26 17:41:22;-6,21;0,00;41,41;5,52;0,17
18.01.26 17:41:24;-6,21;0,00;41,74;5,61;0,25
18.01.26 17:41:26;-6,26;0,00;41,74;5,69;0,22
18.01.26 17:41:28;-6,26;0,00;41,74;5,77;0,20
18.01.26 17:41:30;-6,26;0,00;41,74;5,86;0,18
18.01.26 17:41:32;-6,26;0,00;41,74;5,94;0,16
18.01.26 17:41:34;-6,26;0,00;41,74;6,02;0,14
18.01.26 17:41:36;-6,31;0,00;42,07;6,11;0,22
18.01.26 17:41:38;-6,31;0,00;42,07;6,23;0,20
18.01.26 17:41:41;-6,31;0,00;42,07;6,32;0,18
18.01.26 17:41:43;-6,31;0,00;42,07;6,40;0,16
18.01.26 17:41:45;-6,31;0,00;42,40;6,49;0,24
18.01.26 17:41:47;-6,36;0,00;42,40;6,57;0,22
18.01.26 17:41:49;-6,36;0,00;42,40;6,66;0,20
18.01.26 17:41:51;-6,36;0,00;42,40;6,74;0,18
18.01.26 17:41:53;-6,36;0,00;42,40;6,83;0,16
18.01.26 17:41:55;-6,36;0,00;42,40;6,91;0,15
18.01.26 17:41:57;-6,41;0,00;42,73;7,00;0,22
18.01.26 17:41:59;-6,41;0,00;42,73;7,08;0,20
18.01.26 17:42:01;-6,41;0,00;42,73;7,17;0,17
18.01.26 17:42:03;-6,41;0,00;42,73;7,25;0,16
18.01.26 17:42:05;-6,41;0,00;42,73;7,34;0,14
18.01.26 17:42:07;-6,41;0,00;42,73;7,47;0,13
18.01.26 17:42:10;-6,41;0,00;42,73;7,55;0,12
18.01.26 17:42:12;-6,41;0,00;42,73;7,64;0,11
18.01.26 17:42:14;-6,41;0,00;42,73;7,72;0,10
18.01.26 17:42:16;-6,41;0,00;43,06;7,81;0,18
18.01.26 17:42:18;-6,41;0,00;42,73;7,89;0,07
18.01.26 17:42:20;-6,41;0,00;42,73;7,98;0,07
18.01.26 17:42:22;-6,41;0,00;42,73;8,07;0,06
18.01.26 17:42:24;-6,46;0,00;43,06;8,15;0,15
18.01.26 17:42:26;-6,46;0,00;43,06;8,24;0,14
18.01.26 17:42:28;-6,41;0,00;42,73;8,32;0,12
18.01.26 17:42:30;-6,46;0,00;43,06;8,41;0,11
18.01.26 17:42:32;-6,46;0,00;43,06;8,50;0,10
18.01.26 17:42:34;-6,46;0,00;43,06;8,62;0,09
18.01.26 17:42:37;-6,46;0,00;43,06;8,71;0,08
18.01.26 17:42:39;-6,46;0,00;43,06;8,80;0,07
18.01.26 17:42:41;-6,46;0,00;43,06;8,88;0,07
18.01.26 17:42:43;-6,46;0,00;43,06;8,97;0,06
18.01.26 17:42:45;-6,46;0,00;43,06;9,06;0,06
18.01.26 17:42:47;-6,46;0,00;43,06;9,14;0,05
18.01.26 17:42:49;-6,46;0,00;43,06;9,23;0,05
18.01.26 17:42:51;-6,46;0,00;43,06;9,31;0,04
18.01.26 17:42:53;-6,51;0,00;43,39;9,40;0,12
18.01.26 17:42:55;-6,46;0,00;43,06;9,53;0,12
18.01.26 17:42:58;-6,51;0,00;43,39;9,62;0,11
